Firm Name,AUM,Link
Creekside Partners,"$180,578",https://www.holdingschannel.com/13f/creekside-partners-top-holdings/
Gordian Capital Singapore Pte Ltd,"$189,888",https://www.holdingschannel.com/13f/gordian-capital-singapore-pte-ltd-top-holdings/
Brown Financial Advisors,"$223,770",https://www.holdingschannel.com/13f/brown-financial-advisors-top-holdings/
NCP Inc.,"$158,071",https://www.holdingschannel.com/13f/ncp-inc-top-holdings/
SW Investment Management LLC,"$314,407",https://www.holdingschannel.com/13f/sw-investment-management-llc-top-holdings/
Centennial Bank AR,"$204,133",https://www.holdingschannel.com/13f/centennial-bank-ar-top-holdings/
Mendon Capital Advisors Corp,"$118,200",https://www.holdingschannel.com/13f/mendon-capital-advisors-corp-top-holdings/
Pensioenfonds Rail & OV,"$1,335,136",https://www.holdingschannel.com/13f/pensioenfonds-rail-ov-top-holdings/
Strategic Investment Solutions Inc. IL,"$310,660",https://www.holdingschannel.com/13f/strategic-investment-solutions-inc-il-top-holdings/
University of Texas Texas AM Investment Management Co.,"$264,694",https://www.holdingschannel.com/13f/university-of-texas-texas-am-investment-management-co-top-holdings/
SRN Advisors LLC,"$120,232",https://www.holdingschannel.com/13f/srn-advisors-llc-top-holdings/
Cowen Investment Management LLC,"$56,805",https://www.holdingschannel.com/13f/cowen-investment-management-llc-top-holdings/
Maven Securities LTD,"$5,011,668",https://www.holdingschannel.com/13f/maven-securities-ltd-top-holdings/
Gibson Wealth Advisors LLC,"$106,817",https://www.holdingschannel.com/13f/gibson-wealth-advisors-llc-top-holdings/
RiverFront Investment Group LLC,"$3,766,715",https://www.holdingschannel.com/13f/riverfront-investment-group-llc-top-holdings/
Heritage Oak Wealth Advisors LLC,"$190,917",https://www.holdingschannel.com/13f/heritage-oak-wealth-advisors-llc-top-holdings/
Kestra Investment Management LLC,"$1,468,459",https://www.holdingschannel.com/13f/kestra-investment-management-llc-top-holdings/
Sycomore Asset Management,"$565,814",https://www.holdingschannel.com/13f/sycomore-asset-management-top-holdings/
Birmingham Capital Management Co. Inc. AL,"$256,084",https://www.holdingschannel.com/13f/birmingham-capital-management-co-inc-al-top-holdings/
